CXZS2200011,苓桂术甘颗粒,中药,3.1,2022-10-01,2023-02-24,江苏康缘药业股份有限公司;江苏康缘药业股份有限公司,苓桂术甘颗粒申请上市技术审评报告.pdf/ 苓桂术甘颗粒说明书.pdf
CXSS2200037,斯鲁利单抗注射液,治疗用生物制品,2.2,2022-04-11,2023-03-28,上海复宏汉霖生物制药有限公司;上海复宏汉霖生物制药有限公司,斯鲁利单抗注射液（CXSS2200037）申请上市技术审评报告-.pdf/ CXSS2200037_说明书_斯鲁利单抗注射液_.pdf
CXSS2200019,瑞基奥仑赛注射液,治疗用生物制品,2.2,2022-03-02,2023-03-02,上海药明巨诺生物科技有限公司;苏州药明巨诺生物科技有限公司,瑞基奥仑赛注射液（CXSS2200019）-申请上市技术审评报告.pdf/ 瑞基奥仑赛注射液（CXSS2200019）-说明书.pdf
CXHS2200006,环泊酚注射液,化药,2.4,2022-01-21,2023-01-03,辽宁海思科制药有限公司;辽宁海思科制药有限公司,环泊酚注射液（CXHS2200006） 申请上市技术审评报告.pdf/ 环泊酚注射液（CXHS2200006）说明书.pdf
CXZS2200001,太子神悦胶囊,中药,1.1,2022-01-07,2023-03-17,新疆华春生物药业股份有限公司;国药集团德众（佛山）药业有限公司,参葛补肾胶囊申请上市技术审评报告.pdf/ 参葛补肾胶囊说明书.pdf
JXHS2200001,枸橼酸托法替布缓释片,化药,5.1,2022-01-06,2023-04-06,Pfizer Inc.;辉瑞投资有限公司;Pfizer Pharmaceuticals LLC;Pfizer Pharmaceuticals LLC,枸橼酸托法替布缓释片（JXHS2200001）申请上市技术审评报告.pdf/ 枸橼酸托法替布缓释片（JXHS2200001）说明书.pdf
JXHS2200002,枸橼酸托法替布片,化药,5.1,2022-01-06,2023-04-06,Pfizer Europe MA EEIG;辉瑞投资有限公司;Pfizer Manufacturing Deutschland GmbH,枸橼酸托法替布片（JXHS2200002）申请上市技术审评报告.pdf/ 枸橼酸托法替布片（JXHS2200002）说明书.pdf
CXHS2101055,甲磺酸伏美替尼片,化药,2.4,2021-12-17,2023-02-17,上海艾力斯医药科技股份有限公司;江苏艾力斯生物医药有限公司,甲磺酸伏美替尼片（CXHS2101055）-申请上市技术审评报告.pdf/ 甲磺酸伏美替尼片（CXHS2101055）-说明书.pdf
CXSS2101059,重组人生长激素注射液,治疗用生物制品,3.2,2021-12-15,2022-10-10,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101059-62）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101059-62）说明书.pdf
CXSS2101060,重组人生长激素注射液,治疗用生物制品,3.2,2021-12-15,2022-10-10,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101059-62）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101059-62）说明书.pdf
CXSS2101061,重组人生长激素注射液,治疗用生物制品,3.2,2021-12-15,2022-10-10,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101059-62）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101059-62）说明书.pdf
CXSS2101062,重组人生长激素注射液,治疗用生物制品,3.2,2021-12-15,2022-10-10,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101059-62）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101059-62）说明书.pdf
CXSS2101057,特瑞普利单抗注射液,治疗用生物制品,2.2,2021-12-14,2023-02-23,上海君实生物医药科技股份有限公司;苏州众合生物医药科技有限公司,特瑞普利单抗注射液（CXSS2101057-058）-申请上市技术审评报告.pdf/ 特瑞普利单抗注射液（CXSS2101057-058）-说明书.pdf
CXSS2101058,特瑞普利单抗注射液,治疗用生物制品,2.2,2021-12-14,2023-02-23,上海君实生物医药科技股份有限公司;苏州众合生物医药科技有限公司,特瑞普利单抗注射液（CXSS2101057-058）-申请上市技术审评报告.pdf/ 特瑞普利单抗注射液（CXSS2101057-058）-说明书.pdf
JXHS2101087,注射用曲拉西利,化药,5.1,2021-12-01,2023-03-03,N/A;江苏先声药业有限公司;N/A,注射用曲拉西利 （JXHS2101087）申请上市技术审评报告.pdf/ 注射用曲拉西利 （JXHS2101087）说明书.pdf
JXSS2101033,帕博利珠单抗注射液,治疗用生物制品,2.2,2021-11-26,2023-02-10,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co., Inc.;默沙东研发（中国）有限公司;MSD Ireland (Carlow);Merck, Sharp & Dohme, Corp.",帕博利珠单抗注射液（JXSS2101033）公开审评报告-.pdf/ JXSS2101033_说明书_帕博利珠单抗注射液.pdf
CXHS2101054,环泊酚注射液,化药,2.4,2021-11-24,2022-09-13,辽宁海思科制药有限公司;辽宁海思科制药有限公司,环泊酚注射液（CXHS2101054）申请上市技术审评报告.pdf/ 环泊酚注射液（CXHS2101054）说明书.pdf
CXHS2101053,注射用苯磺酸瑞马唑仑,化药,2.4,2021-11-17,2022-09-02,宜昌人福药业有限责任公司;宜昌人福药业有限责任公司,注射用苯磺酸瑞马唑仑（CXHS2101053）申请上市技术审评报告.pdf/ 注射用苯磺酸瑞马唑仑（CXHS2101053）说明书.pdf
JXHS2101074,恩格列净片,化药,2.4,2021-11-17,2023-04-18,/;勃林格殷格翰（中国）投资有限公司;/,恩格列净片（JXHS2101074）申请上市技术审评报告.pdf/ 恩格列净片（JXHS2101074）说明书.pdf
JXHS2101072,恩曲替尼胶囊,化药,5.1,2021-11-12,2023-02-17,/;罗氏（中国）投资有限公司;/;/,恩曲替尼胶囊（JXHS2101072-73）-申请上市技术审评报告.pdf/ 恩曲替尼胶囊（JXHS2101072-73）-说明书.pdf
JXHS2101073,恩曲替尼胶囊,化药,5.1,2021-11-12,2023-02-17,/;罗氏（中国）投资有限公司;/;/,恩曲替尼胶囊（JXHS2101072-73）-申请上市技术审评报告.pdf/ 恩曲替尼胶囊（JXHS2101072-73）-说明书.pdf
JXHS2101068,Selpercatinib胶囊,化药,5.1,2021-11-09,2023-03-29,"Eli Lilly Nederland B.V.;礼来苏州制药有限公司;Lilly del Caribe Inc.;Lilly, S.A.",塞普替尼胶囊（JXHS2101068-069）申请上市注册申请技术审评报告_.pdf/ JXHS2101068-71_说明书_Selpercatinib胶囊_.pdf
JXHS2101069,Selpercatinib胶囊,化药,5.1,2021-11-09,2023-03-29,"Eli Lilly Nederland B.V.;礼来苏州制药有限公司;Lilly del Caribe Inc.;Lilly, S.A.",塞普替尼胶囊（JXHS2101068-069）申请上市注册申请技术审评报告_.pdf/ JXHS2101068-71_说明书_Selpercatinib胶囊_.pdf
JXHS2101070,Selpercatinib胶囊,化药,5.1,2021-11-09,2023-03-29,"Eli Lilly Nederland B.V.;礼来苏州制药有限公司;Lilly del Caribe Inc.;Lilly, S.A.",塞普替尼胶囊（JXHS2101070-071）申请上市注册申请技术审评报告.pdf/ JXHS2101068-71_说明书_Selpercatinib胶囊_.pdf
JXHS2101071,Selpercatinib胶囊,化药,5.1,2021-11-09,2023-03-29,"Eli Lilly Nederland B.V.;礼来苏州制药有限公司;Lilly del Caribe Inc.;Lilly, S.A.",塞普替尼胶囊（JXHS2101070-071）申请上市注册申请技术审评报告.pdf/ JXHS2101068-71_说明书_Selpercatinib胶囊_.pdf
CXSS2101045,信迪利单抗注射液,治疗用生物制品,2.2,2021-11-04,2022-10-22,信达生物制药（苏州）有限公司;信达生物制药（苏州）有限公司,信迪利单抗注射液（CXSS2101045）申请上市技术审评报告-.pdf/ CXSS2101045_说明书_信迪利单抗注射液_.pdf
CXHS2101050,SHR3680片,化药,1,2021-11-01,2023-02-28,江苏恒瑞医药股份有限公司;江苏恒瑞医药股份有限公司,瑞维鲁胺片（CXHS2101050）申请上市技术审评报告-.pdf/ CXHS2101050_说明书_.pdf
JXHS2101063,恩曲替尼胶囊,化药,5.1,2021-10-29,2023-02-17,/;罗氏（中国）投资有限公司;/;/,恩曲替尼胶囊（JXHS2101063-064）-申请上市技术审评报告.pdf/ 恩曲替尼胶囊（JXHS2101063-064） -说明书.pdf
JXHS2101064,恩曲替尼胶囊,化药,5.1,2021-10-29,2023-02-17,/;罗氏（中国）投资有限公司;/;/,恩曲替尼胶囊（JXHS2101063-064）-申请上市技术审评报告.pdf/ 恩曲替尼胶囊（JXHS2101063-064） -说明书.pdf
CXSS2101041,普特利单抗注射液,治疗用生物制品,1,2021-10-26,2023-03-16,乐普生物科技股份有限公司;鼎康（武汉）生物医药有限公司,普特利单抗注射液（CXSS2101041）公开审评报告-.pdf/ CXSS2101041_说明书_普特利单抗注射液.pdf
CXHS2101048,甲苯磺酸多纳非尼片,化药,2.4,2021-10-21,2023-03-16,苏州泽璟生物制药股份有限公司;苏州泽璟生物制药股份有限公司,甲苯磺酸多纳非尼片（CXHS2101048）公开审评报告-.pdf/ CXHS2101048_说明书_甲苯磺酸多纳非尼片_.pdf
CXSS2101036,重组人生长激素注射液,治疗用生物制品,3.2,2021-10-19,2022-10-24,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101036-039）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101036-039）说明书.pdf
CXSS2101037,重组人生长激素注射液,治疗用生物制品,3.2,2021-10-19,2022-10-24,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101036-039）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101036-039）说明书.pdf
CXSS2101038,重组人生长激素注射液,治疗用生物制品,3.2,2021-10-19,2022-10-24,长春金赛药业有限责任公司;长春金赛药业有限责任公司,重组人生长激素注射液（CXSS2101036-039）增加适应症技术审评报告.pdf/ 重组人生长激素注射液（CXSS2101036-039）说明书.pdf
